Model,Mean win rate,TruthfulQA - EM (Robustness)
Llama-3.2-1B-Instruct,1,0.344
Llama-3.2-1B-Instruct-4bit,0.875,0.333
Llama-3.2-1B-Instruct-8bit,0.75,0.312
Llama-3.2-1B-Instruct-pruned-0.1-4bit,0.625,0.291
Llama-3.2-1B-Instruct-pruned-0.1-4bit-qlora,0.5,0.269
Llama-3.2-1B-Instruct-pruned-0.2-4bit-qlora,0.375,0.243
Llama-3.2-1B-Instruct-pruned-0.3-4bit-qlora,0.25,0.226
Llama-3.2-1B-Instruct-pruned-0.5-4bit-qlora,0.125,0.191
Llama-3.2-1B-Instruct-pruned-0.7-4bit-qlora,0,0.113
Llama-3.2-1B-Instruct-pruned-0.1-8bit,-,-
